field_id,field_label,notes
place_wood_leather,Wooden and leather furniture,"Sold in: Shunde, Guangzhou. Travel time from Guangzhou: Shunde ~1 hour."
place_rattan,Rattan furniture,"Sold in: Shunde, Guangzhou. Travel time from Guangzhou: Shunde ~1 hour."
place_living_dining,Living and dining room furniture,"Sold in: Shunde, Guangzhou. Travel time from Guangzhou: Shunde ~1 hour."
place_finishing_materials,"Finishing materials (tiles, wallpaper, parquet, etc.)","Sold in: Guangzhou, Foshan. Travel time from Guangzhou: Foshan ~1 hour."
place_lighting,"Chandeliers, lamps, sconces",Sold in: Guzhen. Travel time from Guangzhou: ~2.5 hours.
place_plumbing_sanitary,Plumbing and sanitary ware,Sold in: Foshan. Travel time from Guangzhou: ~1 hour.
place_bathroom_furniture,Bathroom furniture,Sold in: Foshan. Travel time from Guangzhou: ~1 hour.
place_curtains_carpets,"Curtains, window decor, carpets",Sold in: Guangzhou. Travel time from Guangzhou: local.
place_decor_items,"Decor items (souvenirs, vases, figurines, paintings)","Sold in: Shunde, Guangzhou. Travel time from Guangzhou: Shunde ~1 hour."
place_garden_lighting_statues,"Garden lighting, statues, marble, swimming pools","Sold in: Guzhen, Shunde. Travel time from Guangzhou: ~2.5 hours / ~1 hour."
place_kitchens,Kitchens,"Sold in: Shunde, Guangzhou. Travel time from Guangzhou: Shunde ~1 hour."
